DATE,Avg. Price,East,Midwest,Southeast,Southwest,Los Angeles,San Francisco,Pacific NW,,,
Jun-99,$87.14,$90.00,$90.00,$90.00,$90.00,$80.00,$80.00,$90.00,,,
May-99,$71.43,$70.00,$70.00,$70.00,$70.00,$70.00,$70.00,$80.00,,,
Apr-99,$75.71,$80.00,$70.00,$80.00,$70.00,$75.00,$75.00,$80.00,,,
Mar-99,$75.71,$80.00,$70.00,$70.00,$70.00,$80.00,$80.00,$80.00,,,
Feb-99,$75.71,$80.00,$70.00,$70.00,$70.00,$80.00,$80.00,$80.00,,,
Jan-99,$57.86,$60.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,,,
Dec-98,$47.86,$50.00,$40.00,$40.00,$40.00,$55.00,$55.00,$55.00,,,
Nov-98,$50.00,$50.00,$40.00,$40.00,$40.00,$60.00,$60.00,$60.00,,,
Oct-98,$56.43,$50.00,$45.00,$45.00,$45.00,$70.00,$70.00,$70.00,,,
Sep-98,$60.71,$50.00,$50.00,$50.00,$50.00,$75.00,$75.00,$75.00,,,
Aug-98,$70.71,$60.00,$60.00,$60.00,$60.00,$85.00,$85.00,$85.00,,,
Jul-98,$72.86,$60.00,$60.00,$60.00,$60.00,$90.00,$90.00,$90.00,,,
Jun-98,$75.00,$60.00,$60.00,$60.00,$60.00,$95.00,$95.00,$95.00,,,
May-98,$77.14,$60.00,$60.00,$60.00,$60.00,$100.00,$100.00,$100.00,,,
Apr-98,$82.86,$70.00,$70.00,$70.00,$70.00,$100.00,$100.00,$100.00,,,
Mar-98,$98.57,$90.00,$90.00,$90.00,$90.00,$110.00,$110.00,$110.00,,,
Feb-98,$102.86,$90.00,$90.00,$90.00,$90.00,$120.00,$120.00,$120.00,,,
Jan-98,$118.57,$120.00,$120.00,$120.00,$120.00,$115.00,$115.00,$120.00,,,
Dec-97,$112.86,$110.00,$110.00,$110.00,$110.00,$115.00,$115.00,$120.00,,,
Nov-97,$114.29,$110.00,$110.00,$110.00,$110.00,$120.00,$120.00,$120.00,,,
Oct-97,$114.29,$110.00,$110.00,$110.00,$110.00,$120.00,$120.00,$120.00,,,
Sep-97,$130.00,$130.00,$130.00,$130.00,$130.00,$130.00,$130.00,$130.00,,,
Aug-97,$140.00,$140.00,$140.00,$140.00,$140.00,$140.00,$140.00,$140.00,,,
Jul-97,$109.29,$105.00,$105.00,$105.00,$105.00,$115.00,$115.00,$115.00,,,
Jun-97,$79.29,$75.00,$75.00,$75.00,$75.00,$85.00,$85.00,$85.00,,,
May-97,$73.57,$65.00,$65.00,$65.00,$65.00,$85.00,$85.00,$85.00,,,
Apr-97,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,$80.00,,,
Mar-97,$95.00,$95.00,$95.00,$95.00,$95.00,$95.00,$95.00,$95.00,,,
Feb-97,$95.00,$95.00,$95.00,$95.00,$95.00,$95.00,$95.00,$95.00,,,
Jan-97,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,,,
Dec-96,$87.14,$90.00,$90.00,$90.00,$90.00,$90.00,$80.00,$80.00, ,,
Nov-96,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,,,
Oct-96,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,$90.00,,,
Sep-96,$84.29,$80.00,$80.00,$80.00,$80.00,$90.00,$90.00,$90.00,,,
Aug-96,$78.57,$70.00,$70.00,$70.00,$70.00,$90.00,$90.00,$90.00,,,
Jul-96,$78.57,$70.00,$70.00,$70.00,$70.00,$90.00,$90.00,$90.00,,,
Jun-96,$72.86,$60.00,$60.00,$60.00,$60.00,$90.00,$90.00,$90.00,,,
May-96,$58.57,$50.00,$50.00,$50.00,$50.00,$70.00,$70.00,$70.00,,,
Apr-96,$58.57,$50.00,$50.00,$50.00,$50.00,$70.00,$70.00,$70.00,,,
Mar-96,$78.57,$70.00,$70.00,$70.00,$70.00,$90.00,$90.00,$90.00,,,
Feb-96,$90.71,$80.00,$80.00,$80.00,$80.00,$105.00,$105.00,$105.00,,,
Jan-96,$99.29,$80.00,$80.00,$80.00,$80.00,$125.00,$125.00,$125.00,,,
Dec-95,$56.43,$50.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,,,
Nov-95,$56.43,$50.00,$50.00,$50.00,$50.00,$65.00,$65.00,$65.00,,,
Oct-95,$76.43,$70.00,$70.00,$70.00,$70.00,$85.00,$85.00,$85.00,,,
,,,,,,,,,,,
,,,,,,,,,,,
,, ,,,,,,,,,
